pattern,example_count,min_len,sequences
01112112,2,3,"(1,2,5) (3,4,6) (4,8,7)"
01112121,2,3,"(1,2,5) (3,4,6) (4,7,8)"
01112211,2,3,"(1,2,5) (3,4,7) (4,7,8)"
01113133,2,3,"(1,2,5) (3,4,6) (4,8,7)"
01113313,2,3,"(1,2,5) (3,4,6) (4,8,7)"
01113331,2,3,"(1,2,5) (3,4,6) (4,7,8)"
01114444,1,3,"(1,2,5) (3,4,6) (4,8,7)"
01220011,4,2,"(1,2,7) (3,4,8)"
01220101,4,2,"(1,2,6) (3,4,8)"
01220110,4,2,"(1,2,6) (3,4,7)"
01221001,4,2,"(1,2,5) (3,4,8)"
01221010,4,2,"(1,2,5) (3,4,7)"
01221100,4,2,"(1,2,5) (3,4,6)"
02020001,7,1,"(1,2,8)"
02020010,7,1,"(1,2,7)"
02020100,7,1,"(1,2,6)"
02021000,7,1,"(1,2,5)"
02120011,4,2,"(1,2,7) (3,8,4)"
02120101,4,2,"(1,2,6) (3,8,4)"
02120110,4,2,"(1,2,6) (3,7,4)"
02121001,4,2,"(1,2,5) (3,8,4)"
02121010,4,2,"(1,2,5) (3,7,4)"
02121100,4,2,"(1,2,5) (3,6,4)"
02200001,7,1,"(1,2,8)"
02200010,7,1,"(1,2,7)"
02200100,7,1,"(1,2,6)"
02201000,7,1,"(1,2,5)"
02210011,4,2,"(1,2,7) (3,4,8)"
02210101,4,2,"(1,2,6) (3,4,8)"
02210110,4,2,"(1,2,6) (3,4,7)"
02211001,4,2,"(1,2,5) (3,4,8)"
02211010,4,2,"(1,2,5) (3,4,7)"
02211100,4,2,"(1,2,5) (3,4,6)"
02220001,4,1,"(1,2,8)"
02220010,4,1,"(1,2,7)"
02220100,4,1,"(1,2,6)"
02221000,4,1,"(1,2,5)"
03330011,3,2,"(1,2,7) (3,4,8)"
03330101,3,2,"(1,2,6) (3,4,8)"
03330110,3,2,"(1,2,6) (3,4,7)"
03331001,3,2,"(1,2,5) (3,4,8)"
03331010,3,2,"(1,2,5) (3,4,7)"
03331100,3,2,"(1,2,5) (3,4,6)"
10000001,73,1,"(1,8,2)"
10000010,73,1,"(1,7,2)"
10000022,7,1,"(1,7,2)"
10000100,73,1,"(1,6,2)"
10000202,7,1,"(1,6,2)"
10000220,7,1,"(1,6,2)"
10000222,4,1,"(1,6,2)"
10001000,73,1,"(1,5,2)"
10002002,7,1,"(1,5,2)"
10002020,7,1,"(1,5,2)"
10002022,4,1,"(1,5,2)"
10002200,7,1,"(1,5,2)"
10002202,4,1,"(1,5,2)"
10002220,4,1,"(1,5,2)"
10002222,1,1,"(1,5,2)"
10010011,40,2,"(1,7,2) (3,4,8)"
10010101,40,2,"(1,6,2) (3,4,8)"
10010110,40,2,"(1,6,2) (3,4,7)"
10010122,4,2,"(1,6,2) (3,4,7)"
10010212,4,2,"(1,6,2) (3,4,7)"
10010221,4,2,"(1,6,2) (3,4,8)"
10010333,3,2,"(1,6,2) (3,4,7)"
10011001,40,2,"(1,5,2) (3,4,8)"
10011010,40,2,"(1,5,2) (3,4,7)"
10011022,4,2,"(1,5,2) (3,4,7)"
10011100,40,2,"(1,5,2) (3,4,6)"
10011202,4,2,"(1,5,2) (3,4,6)"
10011220,4,2,"(1,5,2) (3,4,6)"
10011222,3,2,"(1,5,2) (3,4,6)"
10012012,4,2,"(1,5,2) (3,4,7)"
10012021,4,2,"(1,5,2) (3,4,8)"
10012102,4,2,"(1,5,2) (3,4,6)"
10012120,4,2,"(1,5,2) (3,4,6)"
10012122,3,2,"(1,5,2) (3,4,6)"
10012201,4,2,"(1,5,2) (3,4,8)"
10012210,4,2,"(1,5,2) (3,4,7)"
10012212,3,2,"(1,5,2) (3,4,7)"
10012221,3,2,"(1,5,2) (3,4,8)"
10013033,3,2,"(1,5,2) (3,4,7)"
10013303,3,2,"(1,5,2) (3,4,6)"
10013330,3,2,"(1,5,2) (3,4,6)"
10013333,1,2,"(1,5,2) (3,4,6)"
10100011,40,2,"(1,7,2) (3,8,4)"
10100101,40,2,"(1,6,2) (3,8,4)"
10100110,40,2,"(1,6,2) (3,7,4)"
10100122,4,2,"(1,6,2) (3,7,4)"
10100212,4,2,"(1,6,2) (3,7,4)"
10100221,4,2,"(1,6,2) (3,8,4)"
10100333,3,2,"(1,6,2) (3,7,4)"
10101001,40,2,"(1,5,2) (3,8,4)"
10101010,40,2,"(1,5,2) (3,7,4)"
10101022,4,2,"(1,5,2) (3,7,4)"
10101100,40,2,"(1,5,2) (3,6,4)"
10101202,4,2,"(1,5,2) (3,6,4)"
10101220,4,2,"(1,5,2) (3,6,4)"
10101222,3,2,"(1,5,2) (3,6,4)"
10102012,4,2,"(1,5,2) (3,7,4)"
10102021,4,2,"(1,5,2) (3,8,4)"
10102102,4,2,"(1,5,2) (3,6,4)"
10102120,4,2,"(1,5,2) (3,6,4)"
10102122,3,2,"(1,5,2) (3,6,4)"
10102201,4,2,"(1,5,2) (3,8,4)"
10102210,4,2,"(1,5,2) (3,7,4)"
10102212,3,2,"(1,5,2) (3,7,4)"
10102221,3,2,"(1,5,2) (3,8,4)"
10103033,3,2,"(1,5,2) (3,7,4)"
10103303,3,2,"(1,5,2) (3,6,4)"
10103330,3,2,"(1,5,2) (3,6,4)"
10103333,1,2,"(1,5,2) (3,6,4)"
10110111,32,3,"(1,6,2) (3,4,7) (4,7,8)"
10111011,32,3,"(1,5,2) (3,4,7) (4,7,8)"
10111101,32,3,"(1,5,2) (3,4,6) (4,7,8)"
10111110,32,3,"(1,5,2) (3,4,6) (4,8,7)"
10111122,2,3,"(1,5,2) (3,4,6) (4,8,7)"
10111212,2,3,"(1,5,2) (3,4,6) (4,8,7)"
10111221,2,3,"(1,5,2) (3,4,6) (4,7,8)"
10111333,2,3,"(1,5,2) (3,4,6) (4,8,7)"
10112112,2,3,"(1,5,2) (3,4,6) (4,8,7)"
10112121,2,3,"(1,5,2) (3,4,6) (4,7,8)"
10112211,2,3,"(1,5,2) (3,4,7) (4,7,8)"
10113133,2,3,"(1,5,2) (3,4,6) (4,8,7)"
10113313,2,3,"(1,5,2) (3,4,6) (4,8,7)"
10113331,2,3,"(1,5,2) (3,4,6) (4,7,8)"
10114444,1,3,"(1,5,2) (3,4,6) (4,8,7)"
10220011,4,2,"(1,7,2) (3,4,8)"
