1,8,20  algorithm: [2R' U 2R,3D']
1,8,21  algorithm: [D' 2B' D,3L2]
1,8,22  algorithm: [L' 3F L,2B]
1,8,23  algorithm: L [U 3B' U',2B2] L'
1,8,24  algorithm: [L 3B' L',2B]
1,9,10  algorithm: [3L',U 2R U']
1,9,11  algorithm: [3R' 2B2 3R, F2]
1,9,12  algorithm: [3D' 2B 3D,F']
1,9,13  algorithm: [3F' U' 3F,2U']
1,9,14  algorithm: [D' 3L' D,2B]
1,9,15  algorithm: [2U' R2 2U,3L]
1,9,16  algorithm: [2U' R 2U,3L]
1,9,17  algorithm: [3R' U2 3R,2U2]
1,9,18  algorithm: [B' 2U2 B,3L]
1,9,19  algorithm: 
1,9,20  algorithm: [B 2U2 B',3L]
1,9,21  algorithm: D [F 2R F',3L] D'
1,9,22  algorithm: [F 2R F',3L]
1,9,23  algorithm: [D' 3L' D,2B2]
1,9,24  algorithm: [F' 2L' F,3L]
1,10,11  algorithm: [F',3U' 2B' 3U]
1,10,12  algorithm: [3D' 2B 3D, F2]
1,10,13  algorithm: F' [3F' U' 3F,2U'] F
1,10,14  algorithm: [3L F' 3L',2B]
1,10,15  algorithm: F' [2U' R2 2U,3L] F
1,10,16  algorithm: F' [2U' R 2U,3L] F
1,10,17  algorithm: F' [3R' U2 3R,2U2] F
1,10,18  algorithm: [2L U' 2L',3U2]
1,10,19  algorithm: [U 2R U',3L]
1,10,20  algorithm: [B' 3L' B,2R2]
1,10,21  algorithm: [U 2R U',3L2]
1,10,22  algorithm: [U' 3F2 U,2R']
1,10,23  algorithm: [3L F' 3L',2B2]
1,10,24  algorithm: F' [F' 2L' F,3L] F
1,11,12  algorithm: [F',3R' 2B2 3R]
1,11,13  algorithm: F2 [3F' U' 3F,2U'] F2
1,11,14  algorithm: [3L F2 3L',2B]
1,11,15  algorithm: [3B U 3B',2D]
1,11,16  algorithm: F2 [2U' R 2U,3L] F2
1,11,17  algorithm: F2 [3R' U2 3R,2U2] F2
1,11,18  algorithm: F2 [B' 2U2 B,3L] F2
1,11,19  algorithm: [F' 3L' F,2D2]
1,11,20  algorithm: F2 [B 2U2 B',3L] F2
1,11,21  algorithm: F' [U 2R U',3L2] F
1,11,22  algorithm: F2 [F 2R F',3L] F2
1,11,23  algorithm: [3L F2 3L',2B2]
1,11,24  algorithm: F2 [F' 2L' F,3L] F2
1,12,13  algorithm: F [3F' U' 3F,2U'] F'
1,12,14  algorithm: [3L F 3L',2B]
1,12,15  algorithm: F [2U' R2 2U,3L] F'
1,12,16  algorithm: [2F' U2 2F,3D]
1,12,17  algorithm: F [3R' U2 3R,2U2] F'
1,12,18  algorithm: [B 3L' B',2L2]
1,12,19  algorithm: [U' 2L' U,3L]
1,12,20  algorithm: [2R' U 2R,3D2]
1,12,21  algorithm: [U' 2L' U,3L2]
1,12,22  algorithm: F [F 2R F',3L] F'
1,12,23  algorithm: [3L F 3L',2B2]
1,12,24  algorithm: [U 3B2 U',2L]
1,13,14  algorithm: [U' 3F' U,2B]
1,13,15  algorithm: U [R2,3F 2R2 3F'] U'
1,13,16  algorithm: [2F 3L2 2F',R']
1,13,17  algorithm: [3R' U2 3R,2U']
1,13,18  algorithm: B' [3R' U2 3R,2U'] B
1,13,19  algorithm: [2B' R 2B,3L]
1,13,20  algorithm: B [3R' U2 3R,2U'] B'
1,13,21  algorithm: [2B' R 2B,3L2]
1,13,22  algorithm: [U 2R2 U',3F]
1,13,23  algorithm: [U' 3F' U,2B2]
1,13,24  algorithm: D [2B' R 2B,3L2] D'
1,14,15  algorithm: R' [U' 3F' U,2B] R
1,14,16  algorithm: U2 [R2,2B' 3R2 2B] U2
1,14,17  algorithm: [3U' B 3U,2B']
1,14,18  algorithm: [L' 3U L,2B']
1,14,19  algorithm: [D' 2B D,3L]
1,14,20  algorithm: [3U' B2 3U,2B']
1,14,21  algorithm: [D' 2B D,3L2]
1,14,22  algorithm: [R' 3F' R,2B']
1,14,23  algorithm: R' [U' 3F' U,2B2] R
1,14,24  algorithm: [R 3B R',2B']
1,15,16  algorithm: [R',2D 3L' 2D']
1,15,17  algorithm: R2 [3R' U2 3R,2U'] R2
1,15,18  algorithm: R' [L' 3U L,2B'] R
1,15,19  algorithm: [F' 3L' F,2D]
1,15,20  algorithm: R' [3U' B2 3U,2B'] R
1,15,21  algorithm: [2B' R' 2B,3L2]
1,15,22  algorithm: R2 [U 2R2 U',3F] R2
1,15,23  algorithm: [U 3B U',2B2]
1,15,24  algorithm: [U' 2L2 U,3B']
1,16,17  algorithm: R [3R' U2 3R,2U'] R'
1,16,18  algorithm: R2 [L' 3U L,2B'] R2
1,16,19  algorithm: [2B' R2 2B,3L]
1,16,20  algorithm: [2R' U 2R,3D]
1,16,21  algorithm: [2B' R2 2B,3L2]
1,16,22  algorithm: R [U 2R2 U',3F] R'
1,16,23  algorithm: R [U' 3F' U,2B2] R'
1,16,24  algorithm: R2 [R 3B R',2B'] R2
1,17,18  algorithm: [3U 2B' 3U', B]
1,17,19  algorithm: [B2,3R 2B2 3R']
1,17,20  algorithm: [3D 2B 3D',B']
1,17,21  algorithm: D2 [3L' B2 3L,2B2] D2
1,17,22  algorithm: D [3L' B2 3L,2B2] D'
1,17,23  algorithm: [3L' B2 3L,2B2]
1,17,24  algorithm: D' [3L' B2 3L,2B2] D
1,18,19  algorithm: [U' 2L U,3L]
1,18,20  algorithm: [3D 2B 3D', B2]
1,18,21  algorithm: [U' 2L U,3L2]
1,18,22  algorithm: D' [U' 2L U,3L2] D
1,18,23  algorithm: [3L' B 3L,2B2]
